threads,time,data_size
1,0.069553,1MB
1,0.045844,1MB
1,0.043864,1MB
1,0.217860,5MB
1,0.218157,5MB
1,0.230303,5MB
1,0.875342,20MB
1,0.866269,20MB
1,0.865816,20MB
